                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2013,                 1.4972,                 1.4926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.067185,             0.00033146,             0.00033146
                      2,                 1.1748,                 1.1066,                 1.4913,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034179,             0.00065821,             0.00065821
                      3,                 1.1318,                0.99845,                 1.4572,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011656,             0.00097836,             0.00097836
                      4,                 1.1317,                0.97432,                 1.4482,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.1013,                0.92032,                 1.4308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0789,                0.87667,                  1.417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0627,                0.84408,                 1.4017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.0417,                0.81477,                 1.3829,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.0251,                0.78291,                 1.3678,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009208,              0.0009208,              0.0009208
                     10,                   1.01,                0.76549,                  1.364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009109,              0.0009109,              0.0009109
                     11,                0.98993,                0.74188,                 1.3533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000901,               0.000901,               0.000901
                     12,                0.97123,                0.72051,                 1.3477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008911,              0.0008911,              0.0008911
                     13,                0.95544,                0.71364,                 1.3455,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008812,              0.0008812,              0.0008812
                     14,                0.94603,                0.70676,                   1.32,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008713,              0.0008713,              0.0008713
                     15,                0.94388,                0.68833,                 1.3142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008614,              0.0008614,              0.0008614
                     16,                0.93207,                0.67382,                 1.3091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008515,              0.0008515,              0.0008515
                     17,                0.92411,                0.67239,                 1.3057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                0.91998,                0.65596,                 1.3106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008317,              0.0008317,              0.0008317
                     19,                0.90826,                0.64676,                 1.2878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008218,              0.0008218,              0.0008218
                     20,                 0.8952,                0.63701,                 1.2872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008119,              0.0008119,              0.0008119
                     21,                0.89754,                0.63241,                 1.2905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000802,               0.000802,               0.000802
                     22,                0.87539,                0.61964,                 1.2761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007921,              0.0007921,              0.0007921
                     23,                0.86926,                 0.6149,                 1.2717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007822,              0.0007822,              0.0007822
                     24,                0.87148,                0.60387,                 1.2781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007723,              0.0007723,              0.0007723
                     25,                0.85898,                0.59119,                 1.2734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007624,              0.0007624,              0.0007624
                     26,                0.84996,                0.58929,                 1.2658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007525,              0.0007525,              0.0007525
                     27,                0.84756,                0.58558,                 1.2479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007426,              0.0007426,              0.0007426
                     28,                0.85037,                0.57957,                 1.2493,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007327,              0.0007327,              0.0007327
                     29,                0.84596,                0.57355,                 1.2481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007228,              0.0007228,              0.0007228
                     30,                0.82983,                0.55893,                 1.2412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007129,              0.0007129,              0.0007129
                     31,                0.82349,                0.55596,                 1.2484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000703,               0.000703,               0.000703
                     32,                0.81862,                 0.5584,                 1.2368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006931,              0.0006931,              0.0006931
                     33,                0.81075,                0.54625,                 1.2311,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006832,              0.0006832,              0.0006832
                     34,                0.81618,                0.53834,                 1.2317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006733,              0.0006733,              0.0006733
                     35,                0.80599,                0.54024,                 1.2307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006634,              0.0006634,              0.0006634
                     36,                0.78997,                0.53255,                 1.2189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006535,              0.0006535,              0.0006535
                     37,                0.78698,                 0.5333,                 1.2213,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006436,              0.0006436,              0.0006436
                     38,                0.78098,                0.52265,                 1.2072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006337,              0.0006337,              0.0006337
                     39,                0.78237,                0.51294,                  1.209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006238,              0.0006238,              0.0006238
                     40,                0.76983,                0.50952,                 1.2074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006139,              0.0006139,              0.0006139
                     41,                0.76813,                0.51173,                 1.1945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000604,               0.000604,               0.000604
                     42,                0.77139,                0.50757,                 1.2011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005941,              0.0005941,              0.0005941
                     43,                 0.7653,                0.50269,                 1.1955,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005842,              0.0005842,              0.0005842
                     44,                0.76245,                0.49499,                 1.1869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005743,              0.0005743,              0.0005743
                     45,                0.75331,                0.49287,                 1.1823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005644,              0.0005644,              0.0005644
                     46,                0.75716,                0.48193,                 1.1823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005545,              0.0005545,              0.0005545
                     47,                0.74617,                0.48063,                  1.195,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005446,              0.0005446,              0.0005446
                     48,                 0.7392,                 0.4858,                 1.1735,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005347,              0.0005347,              0.0005347
                     49,                0.72814,                0.47265,                 1.1595,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005248,              0.0005248,              0.0005248
                     50,                0.72797,                0.47384,                 1.1643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005149,              0.0005149,              0.0005149
                     51,                0.73655,                0.47477,                 1.1669,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000505,               0.000505,               0.000505
                     52,                0.73328,                 0.4701,                 1.1717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004951,              0.0004951,              0.0004951
                     53,                0.72402,                0.46702,                  1.167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004852,              0.0004852,              0.0004852
                     54,                0.72386,                0.46385,                 1.1703,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004753,              0.0004753,              0.0004753
                     55,                0.70246,                 0.4516,                 1.1506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004654,              0.0004654,              0.0004654
                     56,                 0.7149,                0.45447,                 1.1553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004555,              0.0004555,              0.0004555
                     57,                0.70814,                0.45347,                 1.1466,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004456,              0.0004456,              0.0004456
                     58,                0.69782,                0.43815,                  1.134,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004357,              0.0004357,              0.0004357
                     59,                0.69625,                0.44222,                  1.124,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004258,              0.0004258,              0.0004258
