                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1629,                 1.3757,                 1.4297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.067113,              0.0003322,              0.0003322
                      2,                 1.1198,                 1.0487,                 1.4299,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034106,             0.00065894,             0.00065894
                      3,                 1.1023,                 0.9831,                 1.4084,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010929,             0.00097908,             0.00097908
                      4,                 1.0858,                0.96282,                 1.4079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0557,                 0.8959,                 1.3802,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0226,                0.83889,                 1.3695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009505,              0.0009505,              0.0009505
                      7,                0.99959,                0.80673,                 1.3549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009406,              0.0009406,              0.0009406
                      8,                0.96585,                0.77328,                 1.3244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009307,              0.0009307,              0.0009307
                      9,                0.95123,                0.74578,                 1.3214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009208,              0.0009208,              0.0009208
                     10,                0.94074,                0.73319,                 1.3038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009109,              0.0009109,              0.0009109
                     11,                0.92667,                0.71358,                 1.3035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000901,               0.000901,               0.000901
                     12,                0.91139,                0.70334,                 1.2894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008911,              0.0008911,              0.0008911
                     13,                0.89312,                0.68045,                 1.2771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008812,              0.0008812,              0.0008812
                     14,                0.88707,                0.67631,                 1.2626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008713,              0.0008713,              0.0008713
                     15,                0.88015,                0.66004,                 1.2581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008614,              0.0008614,              0.0008614
                     16,                0.86347,                0.64272,                 1.2535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008515,              0.0008515,              0.0008515
                     17,                 0.8585,                0.63571,                 1.2391,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                0.84048,                0.62232,                  1.232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008317,              0.0008317,              0.0008317
                     19,                0.82998,                 0.6123,                 1.2264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008218,              0.0008218,              0.0008218
                     20,                0.82877,                0.60787,                 1.2287,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008119,              0.0008119,              0.0008119
                     21,                0.82215,                0.60445,                 1.2211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000802,               0.000802,               0.000802
