                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.114,                 1.5977,                 1.4679,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.067202,             0.00033129,             0.00033129
                      2,                 1.0967,                 1.1739,                 1.4726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034196,             0.00065804,             0.00065804
                      3,                 1.0754,                 1.1179,                 1.4754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011827,              0.0009782,              0.0009782
                      1,                 1.3364,                 1.3032,                 1.4035,                0.32123,                 0.2802,                0.24436,                0.11676,                 1.9016,                 2.1549,                 1.8077,               0.067102,              0.0003323,              0.0003323
                      2,                  1.325,                 1.0822,                 1.4134,                0.59359,                0.49701,                0.54191,                0.30269,                 1.7034,                 1.2428,                 1.5551,               0.034096,             0.00065904,             0.00065904
                      3,                  1.319,                 1.0316,                  1.411,                0.68417,                0.54057,                0.60287,                0.36347,                 1.5477,                 1.1542,                 1.4953,              0.0010824,             0.00097919,             0.00097919
                      4,                 1.3113,                 1.0115,                 1.4114,                0.70042,                0.49349,                0.56812,                0.33945,                 1.5952,                 1.1761,                 1.5446,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2845,                0.96967,                 1.3929,                0.72363,                0.58175,                0.66174,                0.40528,                 1.5138,                 1.0918,                 1.4292,              0.0009604,              0.0009604,              0.0009604
                      6,                   1.27,                0.94679,                 1.3794,                0.76375,                0.59381,                0.68143,                0.43345,                 1.4461,                  1.053,                 1.4154,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2425,                0.92598,                 1.3625,                0.76672,                0.59046,                0.68219,                0.43731,                 1.4606,                 1.0367,                 1.4021,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.2288,                0.90228,                 1.3499,                0.75733,                0.63276,                0.71018,                0.44916,                 1.4927,                0.96674,                 1.4066,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.2129,                0.87673,                 1.3374,                0.77683,                0.61251,                0.70224,                0.44446,                 1.4126,                0.96717,                 1.3747,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.2035,                0.87464,                 1.3351,                0.78729,                0.62594,                 0.7178,                0.46517,                 1.4236,                0.94946,                 1.3765,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1997,                 0.8691,                  1.324,                0.77933,                0.63046,                0.71941,                0.46672,                  1.362,                0.95677,                 1.3398,               0.000901,               0.000901,               0.000901
                     12,                 1.1815,                0.83903,                 1.3171,                0.80563,                0.63131,                0.72694,                0.46195,                 1.4338,                0.94677,                 1.3706,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1793,                0.83309,                 1.3137,                 0.7909,                0.63875,                0.72979,                0.47786,                 1.3706,                0.90776,                 1.3412,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1736,                 0.8275,                 1.3172,                0.80429,                0.61147,                0.70898,                0.45923,                 1.4421,                0.95435,                  1.388,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1606,                0.81491,                 1.3064,                0.80902,                0.64354,                 0.7409,                0.48754,                 1.3599,                0.89235,                 1.3409,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.1619,                0.81122,                 1.2967,                0.82388,                0.64386,                0.74723,                0.49838,                 1.3248,                0.87429,                 1.3143,              0.0008515,              0.0008515,              0.0008515
                     17,                  1.156,                0.80228,                 1.2894,                0.79428,                0.65372,                0.74546,                0.48014,                 1.4016,                0.89207,                 1.3412,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1456,                0.80489,                 1.2893,                0.81328,                0.65826,                0.75324,                0.49537,                 1.3758,                0.86992,                 1.3418,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.1415,                 0.7871,                 1.2822,                0.80415,                  0.655,                0.74917,                0.49052,                 1.3735,                0.87466,                  1.324,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.1313,                0.78471,                 1.2726,                  0.832,                0.65585,                0.75149,                0.49286,                 1.3493,                0.86107,                 1.3159,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.1262,                0.77745,                 1.2755,                0.81374,                0.66025,                0.75209,                0.49678,                 1.3387,                0.85544,                 1.3246,               0.000802,               0.000802,               0.000802
                     22,                 1.1159,                0.77042,                 1.2664,                0.81981,                0.66156,                0.75913,                0.50574,                 1.2949,                0.84994,                  1.289,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.1054,                0.76575,                 1.2617,                0.81944,                0.66721,                 0.7554,                0.50062,                 1.3147,                0.83689,                 1.3053,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.1005,                0.75849,                 1.2526,                0.82527,                0.66347,                0.76454,                0.51132,                 1.3035,                0.83857,                 1.2898,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0977,                0.75239,                 1.2527,                0.80963,                0.67112,                0.76281,                0.51485,                   1.29,                0.82787,                 1.2931,              0.0007624,              0.0007624,              0.0007624
                     26,                  1.093,                0.75052,                 1.2532,                0.81243,                0.66738,                0.76117,                0.52002,                 1.2579,                0.82405,                  1.281,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.0825,                0.74531,                 1.2489,                 0.8166,                0.67888,                0.76777,                 0.5255,                 1.2241,                0.81984,                 1.2629,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.0921,                0.74764,                 1.2498,                0.82757,                0.67508,                 0.7699,                0.52483,                 1.2446,                0.80875,                 1.2721,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.0807,                0.73152,                 1.2433,                0.84228,                0.67258,                0.77221,                0.52963,                 1.2461,                0.81447,                 1.2677,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.0706,                0.73169,                 1.2391,                0.83249,                0.67115,                0.77247,                0.52629,                 1.2689,                0.80495,                 1.2754,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0697,                0.72884,                 1.2327,                0.83492,                0.68139,                0.77755,                0.53218,                 1.2382,                0.80612,                 1.2626,               0.000703,               0.000703,               0.000703
                     32,                 1.0567,                0.72219,                 1.2326,                0.83683,                 0.6804,                0.77974,                0.53624,                 1.2329,                0.79686,                 1.2652,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.0486,                0.71179,                 1.2229,                0.82651,                0.68652,                0.77934,                0.53583,                 1.2142,                0.78381,                 1.2485,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.0533,                0.71277,                 1.2219,                0.82144,                0.68557,                0.77639,                0.53415,                 1.2285,                0.78648,                 1.2551,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.0631,                 0.7194,                 1.2272,                0.83617,                0.67887,                0.78237,                0.54312,                 1.2072,                0.78273,                 1.2438,              0.0006634,              0.0006634,              0.0006634
                     36,                  1.042,                0.72341,                 1.2195,                0.83186,                0.68943,                 0.7844,                0.54372,                  1.219,                0.77784,                 1.2467,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.0483,                0.70946,                 1.2187,                0.84342,                 0.6827,                0.78533,                0.54695,                 1.2099,                0.77656,                 1.2484,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.0413,                 0.7004,                 1.2165,                0.83957,                0.68504,                0.78748,                0.54668,                  1.215,                0.77326,                 1.2436,              0.0006337,              0.0006337,              0.0006337
