                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.254,                 1.0508,                 1.3828,                0.65594,                 0.5193,                0.58074,                0.34161,                  1.604,                 1.3251,                  1.569,               0.067102,              0.0003323,              0.0003323
                      2,                 1.3109,                 1.0318,                 1.4379,                0.73232,                0.55738,                0.63198,                0.37088,                 1.5554,                  1.086,                 1.5142,               0.034096,             0.00065904,             0.00065904
                      3,                 1.3076,                 1.0034,                 1.4345,                0.72969,                0.55403,                0.64467,                0.39346,                 1.5097,                 1.0756,                 1.5028,              0.0010824,             0.00097919,             0.00097919
                      4,                 1.2957,                0.99587,                 1.4337,                0.73692,                0.60068,                0.67409,                0.41364,                 1.4901,                 1.0272,                 1.4743,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2605,                0.94312,                 1.4065,                0.67001,                0.60423,                0.66343,                0.40895,                 1.5059,                 1.0439,                 1.4609,              0.0009604,              0.0009604,              0.0009604
                      6,                  1.237,                0.89726,                 1.3831,                0.74288,                0.60617,                0.68737,                0.42557,                 1.4585,                0.99356,                 1.4317,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2105,                0.87912,                 1.3647,                0.77415,                0.63053,                0.71988,                0.46434,                 1.3917,                0.94716,                 1.4047,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1946,                0.86254,                 1.3524,                0.79578,                0.64447,                0.73449,                0.46517,                 1.4344,                0.92431,                 1.4034,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1756,                0.83582,                 1.3331,                0.75122,                0.64339,                0.73129,                0.46893,                 1.4033,                0.95739,                 1.3807,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1645,                0.82573,                 1.3268,                0.81261,                0.67247,                0.76174,                0.49698,                 1.3761,                0.87064,                 1.3535,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1591,                0.81905,                 1.3243,                0.81644,                0.65794,                0.75616,                0.49969,                 1.3073,                0.85787,                 1.3442,               0.000901,               0.000901,               0.000901
                     12,                 1.1372,                0.79153,                 1.3159,                0.82283,                0.67096,                0.76604,                0.50574,                 1.3436,                  0.856,                 1.3554,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1287,                0.79116,                 1.3035,                0.80192,                0.66713,                0.75429,                0.49665,                 1.3369,                0.86262,                 1.3416,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1165,                0.77441,                 1.2938,                0.83622,                 0.6591,                 0.7618,                0.50638,                  1.313,                0.83156,                 1.3392,              0.0008713,              0.0008713,              0.0008713
                     15,                  1.108,                0.76349,                 1.2915,                0.82127,                0.67254,                0.76592,                0.50538,                 1.3065,                0.83131,                 1.3314,              0.0008614,              0.0008614,              0.0008614
                     16,                  1.108,                0.75426,                 1.2845,                0.80132,                0.69267,                0.77646,                 0.5226,                 1.2867,                0.81832,                 1.3149,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0937,                0.74005,                 1.2759,                0.82375,                0.68583,                 0.7812,                0.51465,                 1.3588,                0.81536,                 1.3428,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.0849,                0.73837,                 1.2715,                0.82623,                0.69674,                0.78617,                0.52009,                 1.3362,                0.80824,                 1.3144,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0799,                0.72899,                 1.2627,                 0.8064,                0.69574,                0.78471,                0.52545,                 1.3221,                0.80107,                  1.322,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.0669,                0.72074,                 1.2563,                 0.8346,                0.69156,                0.78763,                0.52656,                 1.3038,                0.78246,                   1.31,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0584,                0.71298,                 1.2474,                0.82494,                0.69838,                0.79178,                0.53554,                 1.2811,                0.78591,                 1.3006,               0.000802,               0.000802,               0.000802
                     22,                 1.0609,                 0.7079,                 1.2492,                0.82459,                 0.6973,                0.79578,                0.53943,                 1.2548,                0.78405,                 1.2873,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0488,                0.69564,                 1.2424,                 0.8427,                0.70308,                0.79734,                0.53958,                 1.2817,                0.77097,                 1.3018,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0457,                0.69025,                 1.2361,                0.83618,                0.70067,                0.79893,                0.54403,                 1.2796,                 0.7697,                 1.2909,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.0437,                0.69242,                 1.2336,                0.83731,                 0.7145,                0.80374,                0.55186,                 1.2418,                0.75308,                 1.2679,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0314,                0.68171,                 1.2257,                0.83631,                 0.7133,                0.79952,                 0.5432,                  1.267,                0.75686,                 1.2828,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.0274,                0.68131,                 1.2245,                0.83404,                0.70441,                0.79589,                 0.5424,                 1.2501,                0.76348,                 1.2748,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.0313,                0.68123,                 1.2193,                0.83975,                0.71889,                0.80555,                0.55166,                 1.2525,                0.74389,                 1.2759,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.0237,                 0.6661,                 1.2163,                0.85295,                0.71911,                0.80671,                0.55171,                 1.2657,                0.74889,                 1.2777,              0.0007228,              0.0007228,              0.0007228
                     30,                  1.019,                0.66643,                 1.2175,                0.84136,                0.71906,                0.80828,                0.55154,                 1.2668,                0.74085,                 1.2759,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0111,                0.65982,                 1.2107,                0.84288,                0.71968,                0.81225,                0.55827,                 1.2496,                0.73909,                 1.2643,               0.000703,               0.000703,               0.000703
                     32,                 1.0021,                0.65193,                  1.211,                 0.8474,                0.72793,                0.81207,                0.55947,                  1.247,                 0.7325,                 1.2669,              0.0006931,              0.0006931,              0.0006931
                     33,                0.99532,                 0.6451,                 1.1992,                0.84408,                0.71921,                 0.8127,                0.56175,                 1.2251,                0.72525,                 1.2538,              0.0006832,              0.0006832,              0.0006832
                     34,                0.99593,                0.64592,                 1.1971,                0.83202,                0.72862,                0.81338,                 0.5621,                 1.2088,                   0.72,                 1.2516,              0.0006733,              0.0006733,              0.0006733
                     35,                0.99123,                0.64331,                  1.194,                0.86107,                0.72004,                0.81822,                0.56871,                 1.1972,                0.70781,                 1.2475,              0.0006634,              0.0006634,              0.0006634
                     36,                0.98163,                0.65441,                 1.1981,                0.84683,                0.72742,                0.81808,                0.57074,                 1.1791,                 0.7095,                 1.2448,              0.0006535,              0.0006535,              0.0006535
                     37,                0.97189,                0.62811,                 1.1865,                0.85547,                0.71789,                0.81708,                0.57518,                 1.1688,                0.70326,                 1.2414,              0.0006436,              0.0006436,              0.0006436
                     38,                0.96774,                0.62944,                 1.1893,                0.85633,                 0.7231,                0.81844,                0.57493,                  1.164,                0.70088,                 1.2321,              0.0006337,              0.0006337,              0.0006337
                     39,                0.96557,                0.62265,                 1.1817,                0.85301,                0.72458,                0.82312,                0.58372,                 1.1333,                0.68923,                 1.2184,              0.0006238,              0.0006238,              0.0006238
                     40,                0.95752,                0.61619,                  1.178,                0.85178,                0.72371,                0.82095,                0.57787,                 1.1555,                0.69127,                 1.2291,              0.0006139,              0.0006139,              0.0006139
                     41,                0.95151,                0.60967,                  1.176,                0.84096,                0.73086,                0.82004,                0.58127,                 1.1329,                  0.691,                 1.2236,               0.000604,               0.000604,               0.000604
                     42,                0.94394,                0.60846,                  1.165,                0.85648,                0.73132,                0.82185,                 0.5858,                  1.122,                 0.6787,                  1.218,              0.0005941,              0.0005941,              0.0005941
                     43,                0.94454,                0.60601,                 1.1686,                0.84637,                0.73955,                0.82184,                0.58515,                 1.1118,                0.68007,                 1.2117,              0.0005842,              0.0005842,              0.0005842
                     44,                0.93973,                0.60124,                 1.1667,                0.84626,                 0.7382,                0.82471,                0.58758,                 1.1128,                0.67807,                 1.2159,              0.0005743,              0.0005743,              0.0005743
                     45,                0.94035,                0.59781,                 1.1617,                0.85188,                0.73231,                0.82375,                  0.589,                 1.1116,                0.67856,                  1.213,              0.0005644,              0.0005644,              0.0005644
                     46,                0.94099,                0.60047,                 1.1605,                0.85477,                0.72822,                0.82227,                0.58846,                 1.1146,                0.67516,                 1.2172,              0.0005545,              0.0005545,              0.0005545
                     47,                0.92317,                0.59337,                 1.1583,                0.85619,                0.73412,                0.82379,                0.59148,                 1.1008,                0.67525,                 1.2118,              0.0005446,              0.0005446,              0.0005446
