                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2782,                   1.24,                 1.2725,                0.71984,                0.56172,                0.60233,                0.36006,                 1.3854,                 1.0907,                 1.3454,               0.067413,             0.00032917,             0.00032917
                      2,                 1.2158,                0.80249,                 1.2557,                0.66341,                0.56791,                0.58249,                0.34043,                 1.4378,                 1.1746,                  1.413,               0.034406,             0.00065594,             0.00065594
                      3,                 1.2421,                0.84893,                  1.289,                0.64035,                0.49493,                0.51491,                0.29496,                 1.5086,                 1.1574,                 1.4583,              0.0013928,             0.00097612,             0.00097612
                      4,                 1.2271,                0.83415,                 1.2758,                0.69217,                0.55644,                0.58173,                0.34679,                 1.4834,                0.95062,                  1.426,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2317,                0.81575,                 1.2779,                0.73686,                0.53295,                0.59851,                0.35889,                 1.4298,                0.97331,                 1.3441,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1974,                0.77221,                 1.2372,                0.78186,                0.60134,                0.65869,                 0.4136,                 1.3889,                0.83836,                 1.3357,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1851,                0.76219,                 1.2446,                0.80964,                0.58227,                0.66545,                0.42176,                 1.3712,                0.80711,                 1.3114,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1737,                0.74004,                 1.2306,                0.80817,                0.58592,                0.66876,                0.42293,                 1.3833,                0.81993,                 1.3512,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1496,                0.72933,                 1.2202,                0.81534,                  0.617,                0.69267,                0.44396,                 1.3224,                0.77042,                 1.3108,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1521,                 0.7176,                 1.2143,                0.80431,                0.60911,                0.68371,                0.44166,                 1.3347,                0.77221,                 1.3013,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1445,                0.70445,                 1.2042,                0.80875,                0.62749,                0.70097,                0.44989,                 1.3208,                0.76182,                 1.2956,               0.000901,               0.000901,               0.000901
                     12,                 1.1317,                0.69127,                 1.1957,                0.80471,                0.62131,                0.69377,                0.43508,                 1.3487,                0.75806,                 1.3109,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1253,                0.69127,                 1.1941,                0.81587,                0.61933,                0.69925,                0.44153,                 1.3984,                0.74895,                 1.3157,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1115,                0.68042,                 1.1851,                0.83319,                0.61662,                0.70155,                0.45892,                 1.2949,                0.73163,                 1.2737,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1087,                0.67624,                 1.1887,                0.81822,                0.63697,                0.70941,                0.45504,                 1.3409,                0.72662,                 1.3173,              0.0008614,              0.0008614,              0.0008614
                     16,                    1.1,                0.66208,                 1.1766,                0.82965,                 0.6257,                0.71181,                0.44942,                 1.4268,                0.74362,                 1.3422,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0876,                0.65852,                 1.1778,                0.82846,                0.63588,                0.71666,                 0.4649,                 1.3239,                0.71796,                 1.2967,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1065,                0.66781,                 1.1719,                 0.8179,                0.64051,                 0.7111,                0.46133,                 1.3039,                0.73933,                 1.2739,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.0726,                0.64938,                 1.1632,                0.82401,                0.65137,                0.72456,                0.48022,                 1.2745,                 0.6959,                 1.2644,              0.0008218,              0.0008218,              0.0008218
                     20,                  1.075,                0.64324,                 1.1567,                0.83666,                0.64213,                0.72033,                0.47062,                 1.3283,                0.70307,                 1.2812,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.0737,                 0.6405,                 1.1537,                0.83762,                0.64535,                0.72785,                0.47297,                 1.3219,                 0.6937,                 1.2643,               0.000802,               0.000802,               0.000802
