                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3091,                 1.1485,                 1.2575,                0.74461,                0.56343,                0.63234,                0.37769,                  1.356,                 1.0194,                 1.2463,               0.067311,             0.00033019,             0.00033019
                      2,                 1.2556,                0.80415,                 1.2347,                0.70074,                0.55236,                0.57979,                0.34553,                 1.3914,                 1.0825,                 1.2873,               0.034305,             0.00065695,             0.00065695
                      3,                 1.2685,                0.82103,                 1.2538,                0.66698,                0.55923,                0.59207,                0.34977,                 1.3948,                0.92149,                 1.3066,              0.0012916,             0.00097712,             0.00097712
                      4,                  1.279,                0.81538,                  1.249,                0.77517,                0.57818,                0.66118,                0.40178,                 1.4109,                0.87666,                  1.286,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2355,                0.77984,                 1.2313,                0.76415,                0.58798,                0.66103,                0.40492,                 1.3933,                 0.8444,                 1.2527,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.2377,                0.76909,                 1.2295,                0.78217,                0.59361,                0.67231,                0.41054,                 1.3842,                0.83432,                 1.2539,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.2054,                0.74046,                 1.2081,                0.79466,                0.61244,                0.68494,                0.42829,                 1.3462,                0.82129,                 1.2258,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.1938,                0.73094,                 1.1968,                0.81168,                0.60704,                0.68916,                0.43743,                 1.3076,                0.74918,                 1.2093,              0.0009307,              0.0009307,              0.0009307
                      9,                  1.197,                0.72971,                 1.1972,                0.81061,                0.61938,                0.70438,                0.45723,                 1.2842,                0.75327,                 1.2011,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.1952,                0.72019,                 1.1924,                0.80314,                 0.6214,                0.69989,                0.45133,                 1.2894,                0.77135,                  1.211,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.1858,                0.71051,                 1.1886,                0.80316,                0.63377,                0.71275,                 0.4576,                 1.2789,                0.74339,                  1.184,               0.000901,               0.000901,               0.000901
                     12,                 1.1751,                0.69748,                 1.1743,                0.81737,                0.63866,                 0.7177,                0.45908,                 1.3118,                 0.7254,                 1.2044,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.1512,                0.69139,                 1.1663,                0.82877,                0.64164,                0.72337,                0.47052,                 1.2439,                0.72043,                 1.1714,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1406,                0.68586,                 1.1654,                0.82066,                0.64369,                0.72379,                0.47462,                 1.2124,                0.71039,                 1.1641,              0.0008713,              0.0008713,              0.0008713
